"botanical_id","species","author","synonyms","english_name","description","flowering_period","habit","distribution","uses"
"253","513","Wall. ex Masters","","","A medium-sized tree, up to 20 m tall. Leaves petiolate, petioles 1.0-1.5 cm long, thickened at the apex, geniculate, pubescent, lamina lanceolate, elliptic-lanceolate, elliptic-oblong or ovate-elliptic, 5-14 Ã— 1.5-4.0 cm, coriaceous, cuneate or tapering into a short petiole at the base, acuminate at the apex, dentate-serrate, veins prominent beneath. Inflorescence a stout, axillary raceme, 5-10 cm long, puberulous. Flowers 1.0-1.5 cm across, white, pedicels 1-2 cm long, puberulous. Sepals lanceolate, 8-10 mm long, keeled, villous outside, pubescent inside. Petals oblong-cuneate, 7-9 mm long, narrowed at the base, broader at the apex, silky hairy on both the surfaces. Stamens 35-40, filaments c 2 mm long, puberulous, anthers elliptic, 3-4 mm long, awned, puberulous. Ovary villous, 2-locular, ovules in 2 rows in each locule. Fruit an oblong drupe, c 2.5 cm long, smooth.","July-December","Moist evergreen forests.","Sylhet",""
"254","514","Blume","Ganitrus sphaericus Gaertn., Elaeocarpus ganitrus ","Bead Tree, Indian Oil-fruit, Silver Quandong, Wood","An evergreen tree, about 20 m tall, often buttressed at the base, bark dark grey, nearly smooth, rough only with small vertical lenticels and very narrow horizontal furrows, blaze whitish, turning brown on exposure. Leaves elliptic to oblong-obovate, 10-17 Ã— 3-5 cm, acute to acuminate, base cuneate, thinly sericeous, becoming glabrous, often with glands at branches of lateral veins beneath, lateral veins 8-12 pairs, slender and arching, turning yellow before shedding. Racemes 5-7 cm long, 15-20 flowered. Flowers white, 8-10 mm across, pedicels 5-8 mm long. Sepals lanceolate, thinly sericeous, 6-7 Ã— 1.0-1.7 mm. Petals oblong to obtriangular, 5-8 Ã— 2.0-3.5 mm, pubescent on margin and at the base only, divided to middle into c 12 segments. Stamens 28-35, 4.0-4.5 mm long, awn 0.5 mm long, with short bristles at the apex. Ovary spherical, 4-5 celled, styles longer than the stamens. Fruit a drupe, blue when ripe, succulent, 1.5-2.5 cm across, globose, stone 4-5 grooved, strongly rugose, 4-5 celled, cells 1-seeded.","January-July","Subtropical rainforests.","The Chittagong Hill Tracts.","Wood is used as sawn or hewn building timbers, for"
"255","515","Roxb.","Elaeocarpus tuberculatus Roxb., Monocera tubercula","Rudrak","A tree, 5-12 m in height, old trees buttressed at the base. Leaves crowded at the end of branches, 14-30 cm long, obovate, elliptic when immature, apex rounded or acuminate, base cuneate, glabrous, with small glands in axils of lateral veins along midribs beneath, petioles 2.3 cm long, geniculate, swollen at both ends. Racemes crowded, 5-12 cm long, axillary, 10-15 flowered. Flowers 1.2-2.0 cm across, drooping, fragrant, pale white, pedicels 1.5-2.0 cm long, rusty villous. Sepals narrowly triangular, 13-15 Ã— 2 mm, tomentose. Petals white, triangular, 1.5 Ã— 1.0 cm, irregularly divided in the upper third into 25-35 segments. Stamens 40-50, 1 cm long, anthers 4-5 mm long, oblong, aristate at the apex, anther tails erect. Ovary 2-celled, ovoid, cells 10-12 ovuled. Fruit an ellipsoid drupe, 3.5 Ã— 2.0 cm, stone rugose, somewhat compressed, 1-seeded.","April-October","Tropical evergreen hill forests and swamp forests.","Sylhet and Chittagong.","The timber is of local importance for light constr"
"256","516","Blume","Elaeocarpus rigidus Ridley, Elaeocarpus ramsoii Ku","Indian Olive, Rugged Oil-fruit","An evergreen medium-sized to large tree, c 20 m high, branchlets glabrous, young shoots and buds silky, bark greyish-brown, vertically fissured with horizontal wrinkles, blaze reddish, fibrous. Leaves alternate, ovate to elliptic-ovate, 8-15 Ã— 3-7 cm, acute to acuminate with a cuneate or rounded base, coarsely serrate, glabrous, minutely blistered when dry, turning bright red before fall, lateral veins 5-7 pairs, petioles 2.5-5.0 cm long, geniculate and with a pair of small glands at the apex. Racemes 7-8 cm long, 20-25 flowered. Flowers white, 6-7 mm across, pedicels 7-8 mm long. Sepals lanceolate, 5-6 Ã— 1.5-2.0 mm, glabrescent or thinly appressed hairy. Petals ob-triangular, 5-7 Ã— 4-6 mm, hairy on margin only, divided almost to middle into 25-35 segments. Stamens 25-30, 2.5-3.5 mm long, anthers bearded. Ovary 3-celled. Fruit a drupe, light green, smooth, resembling an olive, fleshy, edible, pleasantly acid, ellipsoid to obovoid, 2-3 Ã— 1.0-1.5 cm, stones tapering on both ends, shallowly wrinkled with 3 fine-furrows, 3 or by suppression 2-celled, cells 1-seeded. Seed c 2 cm long, spindle-shaped.","March-December","Broad-leaved forests and also cultivated in the vi","Cultivated over all the country.","Fruits are edible but sour in taste, eaten cooked "
"257","517","Roxb.","Elaeocarpus serrulatus Benth.","","A medium-sized tree, up to 20 m tall. Leaves petiolate, petioles 7-15 mm long, obscurely geniculate at the apex, lamina elliptic, lanceolate, elliptic-lanceolate or oblanceolate, 5-15 Ã— 2-4 cm, cuneate to acuminate at the base, acute to acuminate at the apex, distantly crenate-serrate, thinly coriaceous or chartaceous. Inflorescence an axillary raceme, 5.0-8.5 cm long, puberulous. Flowers 6-9 mm across, pedicels 8-12 mm long, slender, puberulous. Sepals lanceolate, 3-5 mm long, keeled, puberulous or glabrate outside, silky puberulous inside. Petals obtriangular, 4-6 mm long, laciniate, ciliate, white. Stamens 15-30, filaments c 2.5 mm long, pubescent, anthers oblong, 1.5-2.0 mm long, with short bristles at the apex, puberulous. Ovary villous, 3-locular, styles villous at the base. Fruit a drupe, oblong-ovoid to ellipsoid, 2.5-3.0 cm long, green, pyrenes oblong, strongly rugose, with 3 longitudinal grooves, unilocular, 1-seeded.","March-December","Moist deciduous and evergreen forests.","Sylhet",""
"258","518","Roxb.","","","A medium-sized tree, 15-20 m tall. Leaves obovate-oblong, oblanceolate or spathulate, 6-20 Ã— 3-12 cm, cuneate at the base, obtuse or subacute at the apex, distantly cuspidately crenate-serrate, thinly coriaceous, glabrous. Inflorescence an axillary raceme, 3-10 cm long, puberulous. Flowers 2.0-2.5 cm across, dull white, pedicels 2-3 cm long, slender, puberulous or glabrate. Sepals linear-lanceolate, ovate-lanceolate or oblong, 1.5-2.0 cm long, glabrous inside, greyish hairy outside, margin thickened, tomentose. Petals oblong-cuneate, 2.0-2.5 cm long, narrowed at the base, broader at the apex, laciniate, canescent inside, pilose outside. Stamens 30-60, filaments 3-4 mm long, hairy, anthers oblong, 3-4 mm long, puberulous, with 3-4 mm long erect awns. Ovary ovoid, acute to obtuse, pyrenes terete, strongly tubercled, unilocular, 1-seeded.","March-June","Moist evergreen and semi-evergreen forests.","Chittagong.",""
"259","519","(Jack) Wall. ex Steud.","Monocera petiolata Jack, Elaeocarpus integra (C. M","","A medium to large-sized tree, 20-30 m tall. Leaves petiolate, petioles 2.0-6.5 cm long, geniculate at the apex, lamina elliptic-lanceolate or oblong-elliptic, 7-20 Ã— 4-9 cm, narrowed at the base, bluntly acuminate or acute at the apex, distantly serrulate or subentire, coriaceous, veins prominent. Inflorescence an axillary raceme, 7-12 cm long, glabrate. Flowers c 1.5 cm across, pedicels 5-12 mm long, curved at the apex, puberulous. Sepals lanceolate, 6-8 mm long, glabrous outside, puberulous and keeled inside, margin villous. Petals oblong, 7-9 mm long, broad and saccate at the base, narrowed at the apex, laciniate, silky on the both surfaces, ridged and centre. Stamens 20-30, filaments shorter than the anthers, anthers oblong, 2.0-2.5 mm long, shortly awned, awns reflexed, puberulous or glabrescent. Ovary oblong, 2-locular, styles slender, tapering, locule with 2 superposed rows of ovules. Fruit an oblong-ovoid drupe, 1.5-2.0 cm long, smooth, pyrenes rugose, tubercled, indistinctly 4-ridged, unilocular, 1-seeded.","January-February","Moist deciduous forests.","Sylhet"," Leaf juice is drunk and used as an application fo"
"260","520","(C. Muell.) Masters","Monocera prunifolius C. Muell.","","A small to medium-sized tree, 5-20 m tall, branchlets glabrous. Leaves petiolate, petioles 1-3 cm long, swollen and geniculate at the apex, lamina oblong-lanceolate to elliptic-lanceolate, 5-12 Ã— 2.0-3.5 cm, cuneate at the base, acute to acuminate at the apex, crenate-serrate or subentire, subcoriaceous, glabrous. Inflorescence an axillary raceme, 3-9 cm long, silky pubescent, puberulous with age. Flowers 5-10 mm across, white or pale yellow, pedicels 5-6 mm long, bracts leafy, broadly spathulate, caducous. Sepals oblong-lanceolate, 5-8 mm long, pilose or glabrate outside, thinly adpressed hairy and distantly pouched at the base inside, margin villous. Petals oblong, 5-10 mm long, broad sacciform with 2 pits at the base, narrowed at the apex, laciniate, rarely entire, adpressed silky on both surfaces. Stamens 15-30, minutely puberulous, filaments short, anthers c 2 mm long with short awns. Ovary oblong or ovoid, sericeous, 2-3 celled, each cell with 6 ovules. Fruit an oblong-ovoid drupe, 1.5-2.0 cm long, 1-celled, 1-seeded.","January-October","Moist deciduous and semi-evergreen forests.","Sylhet",""
"261","521","Roxb. ex G. Don","Elaeocarpus epiculatus Masters","","A large tree, 25-35 m tall, old trees buttressed at the base, branchlets rufous hairy. Leaves usually crowded at the ends of branchlets, petiolate, petioles 1.5-2.0 cm long on flowering branchlets, shorter on young branchlets, swollen at the both ends, puberulous, lamina obovate, oblong or oblanceolate, 16-35 Ã— 7-15 cm, narrowed and obtuse at the base, bluntly apiculate, obtuse or subacute at the apex, distantly minute serrate or subentire, coriaceous, glabrous, with prominent midrib. Inflorescence an axillary raceme, peduncles 10-16 cm long, pubescent. Flowers 1.0-1.5 cm across, pale white, pedicels 2.0-2.5 cm long, tomentose, bracts leafy, oblanceolate, 2-3 cm long, serrate, caducous. Sepals linear-lanceolate, 1.0-1.5 cm long, acuminate, buff tomentose outside. Petals oblong-cuneate, 1.0-1.8 cm long, narrowed at the base, broader at the apex, tomentose or silky hairy outside, glabrous inside. Stamens 30-60, filaments 1.5-2.5 mm long, puberulous, anthers oblong, 5-6 mm long, puberulous. Ovary oblong-ovoid, silky villous, 2-locular, styles longer than the ovary, tapering above. Fruit an obovoid or oblong drupe, 3.0-3.5 cm long, greenish-yellow, pyrenes compressed, sharp-edged, strongly rugose, unilocular, 1-seeded.","February-October","Moist deciduous and evergreen forests.","Sylhet",""
"262","522","L.","Elaeocarpus oblongus Gaertn., Elaeocarpus cuneatus","Sri Lankan Olive","A large tree, 25-30 m tall, branchlets with persistent leaf scars. Leaves petiolate, petioles 2-3 cm long, glandular pubescent, rarely glabrous, lamina oblong, obovate or elliptic, cuneate, 5-13 Ã— 2.5-6.0 cm, acute or obtuse at the base, acute, obtuse or shortly acuminate at the apex, repand-serrate or crenate, coriaceous, glabrous, veins prominent beneath, pustulate when dry. Inflorescence an axillary, drooping raceme, pustulate. Flowers cream-white, pedicels 8-10 mm long. Petals obovate, cuneate, 7-8 mm long, narrowed at the base, laciniate, glabrous, occasionally pustulate. Stamens 30-35, filaments c 1 mm long, puberulous, anthers oblong, c 2 mm long, puberulous, bearded. Ovary oblong or obovoid, pilose, 2-3 locular, styles 3-4 mm long, subulate, hairy, stigmas entire. Fruit an oblong-obovoid or ellipsoid drupe, obtuse at the apex, greenish-yellow, pyrenes oblong, 2.0-2.5 cm long, acute at the apex, rugose or tuberculate, 1-2 (-3) locular, 1-2 seeded.","March-October","Moist deciduous and semi-evergreen forests.","Chittagong and Sylhet.","Fruits are eaten and also pickled. Wood is suitabl"
"263","524","(Lour.) Poir.","Craspedum tectorium Lour., Elaeocarpus robustus Ro","Indian olive","A medium-sized to large evergreen tree, up to 20 m tall, usually fluted, with buttresses and stilt roots at the lower part of trunk, young shoots rusty tomentose, bark greenish-grey, nearly smooth and lenticellate when young, rough and warty on old trees, blaze greenish-yellow, in old trees brown dotted or mottled. Leaves ovate-oblong, 10-24 Ã— 4-10 cm, acute to acuminate, base rounded to cuneate, thinly coriaceous, glabrous above, tomentose beneath, pinkish-brown when young, turning scarlet during winter or before fall, lateral veins 10-12 pairs, prominent beneath, petioles 1-3 cm long, swollen at the base, geniculate and with 2 glands at the apex. Racemes 6-16 cm long, 10-25 flowered, arising from the axil of fallen leaves. Flowers white, fragrant, pedicels 6-8 mm long. Sepals lanceolate, 5-6 Ã— 1.5-1.8 mm, tomentose. Petals obtriangular, 5-6 Ã— 4-5 mm, hairy on margin and at the base, divided to middle into 40-50 segments. Stamens 40-50, 2.5-3.5 mm long, anthers bearded, rarely beardless. Ovary 3-celled. Fruit a drupe, 2.0-2.5 Ã— 1.5 cm, ovoid, greenish-yellow or bluish-green when young, edible, very acidic, stones 3-grooved, rugose, 2-3 celled, cells 1-seeded, albumen oily.
","May-October.","Subtropical forests.","Chittagong Hill Tracts, and Cox's Bazar, Sylhet, D","Fruits are edible. Green fruits are used in making"
"264","525","Buch.-Ham. ex Masters","","","A large to medium-sized evergreen tree with spreading crown, up to 20 m tall, trunk sometimes with stilt-roots, young shoots covered with silky grey hairs, bud surrounded by a drop of inflammable gum, bark dark grey, smooth, but with prominent small lenticels, blaze yellowish-brown, fibrous and soft. Leaves 12-20 Ã— 5-8 cm, elliptic or oblong, acuminate, rounded at the base, glabrous above, grey-silky when young, afterwards bright green and shining, deep red before falling, lateral veins 12-15 pairs, arched, often with small glandular pits at the axils of bifurcations, petioles 2.5-7.0 cm long, thickened and geniculate, stout and curved, racemes 8-10 cm long, 10-15 flowered, pedicels 8-12 mm long. Sepals narrowly triangular, 8-10 Ã— 2 mm, tomentose. Petals white, oblong, 8-10 Ã— 3.0-3.5 mm, thickened at the base, densely sericeous outside. Stamens 28, 5-7 mm long. Ovary 3-celled. Fruit a drupe, c 2.5 cm long, rounded at the ends, shining, stone 3-grooved, finely rugose, pointed, with 3 minute aperture at the base, 1-celled, 2-seeded.","February-October","Subtropical and warm broad-leaved forests.","Chittagong, Cox's Bazar, Sylhet, and the Chittagon","Wood is suitable for tea chests."
"265","1242","Benth.","","","A medium-sized tree, 20-25 m tall, often buttressed, branchlets glabrous or tomentose. Leaves petiolate, petioles 3.5-5.0 cm long, somewhat thickened and geniculate at the apex, tomentose, lamina ovate to obovate, 12.5-25.0 Ã— 5-10 cm, cuneate, rounded or subcordate at the base, acute at the apex, serrulate, tomentose beneath, coriaceous, veins prominent beneath. Inflorescence axillary, few-flowered fascicles, or flower solitary. Flowers 2-3 cm across, creamy- white, pedicels 2-4 cm long, tomentose. Sepals 4, ovate or oblong, 6-9 mm long, unequal, tomentose. Petals 4, oblong or suborbicular, 6-9 mm long, variously cut at the apex, pubescent. Stamens numerous, filaments 2-4 mm long, densely hairy, anthers linear or oblong, 2-3 mm long, shortly awned. Ovary globose or ovoid, densely tomentose, 4-locular, styles 5-6 mm long, subulate, hairy at the base, sometimes twisted at the apex. Fruit a globose to ovoid capsule, 4.5-7.0 cm across, pendulous, 4-5 valved, valves covered with dense, pointed, 1-2 cm long stiff spines, valves up to 4-seeded.","September-April","Moist deciduous forests.","Sylhet",""
"266","548","Lamk.","","The Coco Plant","A shrub or small tree, usually 1.5-2.0 m high, with rusty-brown branches, young twigs warty. Leaves oval, obovate or elliptic, varying in different cultivated strains or varieties, 3.8-6.3 cm long, dark green above, paler glaucous beneath, deciduous, borne on the extreme tips of the slender branches. Stipules persistent, bracts numerous. Flowers in clusters of 3-5, yellowish-green or yellow, 5-lobed. Styles free, heterostylous. Fruit a drupe, red. Seeds sub-trigonous, endosperm abundant.","April-September.","Grows on the hill terrace of valleys.","Dhaka","This species is of great importance since cocaine "
"267","549","Wall. ex Kurz","","","A bushy shrub or much-branched small tree, up to 8 m tall, branchlets lenticellate, young shots reddish, bark greyish-white, rough, thin. Leaves 3-8 Ã— 0.8-2.6 cm, oblong to elliptic-lanceolate or obovate-lanceolate, subacute or bluntly acuminate, rarely rounded at the apex, entire, chartaceous, glabrous above, glaucous beneath, red when young, midrib prominent, lateral nerves obscure, petioles short, usually red, stipules intrapetiolar, subulate. Flowers white, 2-5 mm long, solitary, bisexual, pedicels 1.3 cm long, slender. Sepals 5, rarely 6, free, 1.2 Ã— 3.0 mm, persistent. Petals 5, 1-2 mm long. Stamens 10, rarely 14, unequal, anthers basifixed, dehiscent longitudinally. Ovary 3-celled, styles 3. Fruit a drupe, 10-14 Ã— 3.5-4.0 mm, trigonous, red when ripe, shining with persistent calyx.","April-September.","Evergreen forests.","Chittagong","The bark is reported to be used for chewing with b"
"268","16","(Dalz.) Muell.-Arg.","Anomospermum excelsum Dalz., Anomospermum neilgher","","An evergreen shrub or a small tree, up to 3 m tall. Leaves hardly coriaceous, greenish or yellowish when dry, nerves 6-12 pairs, arched, surfaces sub-similar. Sepals 5-6, variable in length, obtuse, apiculate or truncate. Petals very variable. Male and female flowers in same cluster or not, males several, shortly pedicelled, female clustered or solitary, pedicels slender. Ovary globose, 3-lobed, styles 3, 2-fid, lobes recurved. Fruit a globose capsule, c 2.5 cm across, depressed, 3-angled, on a slender stalk.","Throughout the year","Evergreen hill forests","Chittagong, Cox's Bazar, Sylhet, and the Chittagon","Leaves are eaten as vegetable and seeds are eaten "
"269","58","(Benth.) Muell.-Arg.","Stipellaria tiliaefolia Benth.","","A large shrub or small tree, up to 12 m tall, densely hairy or glabrescent. Leaves alternate, petiolate, petioles 5-12 cm long, villous, stipulate, stipules linear, acuminate, c 7 mm long, caducous, leaf blade ovate to deltoid, 8.0-19.5 Ã— 5.0-14.5 cm, apex abruptly apiculate, base truncate or subcordate, with 2 stipellae at point of petiole insertion, latter linear, 3-4 mm long, also with 1-3 macular glands, margin dentate, glandular with short hairs, glabrous above, puberulous beneath, triplinerved, lateral nerves 4-6 pairs, not arching, ending near the margin, veins scalariform, distinctly prominent beneath. Inflorescence solitary to groups of racemes, villous, up to 10 cm long in fruits. Flowers unisexual, sessile or subsessile. Staminate flowers with minute bracts, sepals 2 or 3, ovate, stamens with short filaments. Pistillate flowers with linear, acuminate bracts, sepals 6, ovate, outer whorls 2-3 mm long, ovary ovoid, villous, minutely tubercled, style c 1 mm long, stigma 4-8 mm long, erect. Fruit a capsule, ovoid or globose, c 12 Ã— 8 mm, finely verrucose beneath the middle, villous. Seeds ridged, tuberculate.","May-November","Evergreen forests.","Sylhet","Wood is used as fuel."
"270","56","(Benth.) Muell.-Arg.","Stipellaria mollis Benth.","","Shrubs or small trees, monoecious. Leaves broadly ovate or suborbicular, rounded, truncate or shallowly cordate at base, crenate-serrate to cuspidate-dentate along margins, cuspidate-acuminate at apex, 8 - 13 x 4 - 8 cm, pellucid-dotted, softly pubescent beneath, palmately 3-nerved with usually large glands at base; stipels lanceolate, 4 - 6 mm long; petioles stout, 5 - 15 mm long; stipules subulate, small. Male flowers: with short 2 - 2.5 mm long pedicels on 10 - 15 cm long racemes; calyx glabrous, usually splitting irregularly. Female flowers: on 10 - 15 cm long racemes; sepals lanceolate, ca 4 mm long, glandular at base; ovary tomentose; styles free nearly to base. Fruits globose capsule, faintly 3-lobed, 12 - 14 mm in diam., softly grey-pubescent. Seeds subglobose, dorsally compressed, rugose.","May-August","Tropical and subtropical forests.","Sylhet",""
"271","59","(L.) Willd.","Jatropha moluccana L., Aleurities triloba J. R. & ","Aleurites, Candle Nut Tree, Indian Walnut","A medium-sized evergreen tree, of about 18 m tall, young branches stellate-pubescent. Stem 38-50 cm throughout. Leaves crowded at the ends of branches, petiolate, polymorphic, ovate or ovate-lanceolate, 7.5-15.0 Ã— 6.3-7.5 cm, larger leaves strongly tri-lobed, c 20 Ã— 23 cm, entire or shallowly 3-7 lobed, apex acute or obtuse, base obtuse or truncate, stellate pubescent or tomentose, glabrous, drying darkbrown above, paler beneath, margin thickened, paler at maturity, petioles 4.5-15.0 cm long, stellate-pubescent with pair of glands present at the point of insertion with lamina. Panicles dense, 10 cm long and a little wider. Flowers very numerous, white, scurfy puberulous. Male flowers: with calyx 2.5 mm long, splitting into 2 or 3 lobes, puberulous, densely stellate-pubescent without, glabrous within, corolla 4.0-4.5 Ã— 1.0-1.5 mm, oblong-spathulate, obtuse, stamens 15-20, closely arranged on narrowly conical, hairy receptacle, filaments c 0.5 mm long, subglabrous, anthers c 0.3 mm long. Female flowers: pedicels 2-3 mm long, stellate-pubescent, corolla c 10 Ã— 2 mm, linear-oblanceolate, otherwise similar to male, ovary c 1.5 Ã— 2 mm, subglobose, style c 1 mm long. Fruit a drupe, 5.0-6.3 cm long, subglobose, usually 2-seeded, sparsely stellate-pubescent, fleshy, olive-coloured. Seeds 1 or 2.","December-February","Primary forests and also cultivated elsewhere.","Khulna, Rajshahi, Dhaka and Chittagong","Fruit is sweetish-sour, improves appetite. Fruit i"
"272","93","Retz.","Stilago diandra Roxb., Antidesma diandrum (Roxb.) ","Indian Laurel","A large deciduous shrub or small tree with spreading branches and rusty pubescent young parts. Leaves 4-8 cm long, turning deep red before falling, variable, oblong to lanceolate, acute or acuminate at the apex, cuneate at the base, entire, glabrous and glossy above, rusty-pubescent along the nerves beneath, lateral nerves 5-8 on each side, petioles short, pubescent, stipules linear-lanceolate, 4-5 mm long, acute, pubescent. Flowers dioecious, pedicellate, minute in lax terminal and lateral racemes. Male flowers: pedicels 1.0-1.5 mm long, slender, calyx 4-lobed, broadly ovate, c 0.5 mm long, acute, glabrous without, pilose within, disc of 2-3 connate pulviniform glands, stamens 2, arising out of the centre of each glands, filaments 2 mm long, anthers c 0.5 mm long, pistillode absent. Female flowers: pedicels c 0.3 mm long, stout, calyx more deeply lobed than in the males, disc annular, ovary glabrous, ellipsoid, c 0.8 Ã— 0.5 mm, smooth, styles 2, bi-fid, c 0.5 mm long. Fruits subglobose when fresh, ovoid when dried, 3.5-4.0 Ã— 2.0-2.5 mm, reddish-purple, endocarp 4-ridged, coarsly reticulate.","Throughout the year","Evergreen and mixed forests.","Dhaka, Bandarban, Chittagong and Sylhet.","Fruits are edible. Leaves are acrid and eaten, and"
"273","94","Wall.","","","Large shrub or small tree, up to 10 m high, branchlets glabrous or pubescent. Leaves 10-23 Ã— 4-10 cm, distichous, oblong, lanceolate or elliptic-oblong, acuminate at the apex, cuneate, obtuse and unequal at the base, entire, sparsely pubescent on midrib, lateral veins 8-11 on each side, petioles short, stipules linear, silky, 4-9 mm long, lanceolate, pubescent, persistent. Racemes slender, 2-4 branched, 4-11 cm long, glabrous or pubescent. Male flowers in panicles, rachis pubescent, pedicels short, c 1.2 mm long, calyx 3-4 lobed, glabrous, stamens 3-4. Female flowers in much larger panicled racemes, pedicels 1.0-1.6 mm long, calyx pubescent, ovary 2.0-2.4 mm long, style terminal. Fruits 4-5 mm long, red when ripe, ultimately blackish, ellipsoid, acuminate, crowned by the style.","May-August","Evergreen forests.","Sylhet and Tangail","Fruits are edible."
"274","95","Gaertn.","Antidesma paniculatum Blume, Antidesma pubescence ","","A deciduous shrub or small tree, up to 8 m high, branchlets brownish tomentose. Leaves broadly oblong, 4-10 Ã— 2-6 cm, obtuse, base rounded or sub-cordate, pubescent or tomentose beneath, petioles 0.6-1.5 cm long, densely rusty tomentose. Spikes much-branched, 3-7 cm long, densely rusty tomentose. Flowers sessile. Male flowers slender, calyx deeply 5-lobed, minute, stamens 4-5, filaments c 0.5 mm long, very slender, anthers c 0.3 mm in diameter, black when dry. Female flowers on short pedicels, 0.8 mm long, ovary pubescent. Fruits c 4 mm long, subglobose, glabrous, 1-seeded, deep purplish-black when fresh.","January-May.","Forest and village thickets.","Throughout the country.","The bark is considered astringent and tonic. The l"
"275","96","Hook.f.","","","A shrub or small tree, with simple indumentum, young shoots sparsely pubescent, branchlets greyish-white. Leaves alternate, bifarious, 5.5-15.0 Ã— 2.5-6.5 cm, oblong-elliptic, elliptic-lanceolate or narrowly lanceolate, acuminate at the apex, cuneate or acute at the base, entire, eglandular, dark green above, midrib and nerves sparingly pubescent when young, otherwise glabrous, lateral nerves 6-10 on either half, shortly petiolate, petioles 2-7 mm long, stipules linear-lanceolate. Inflorescence racemose, male racemes slender, pubescent, up to 6 cm long, much longer than the females. Flowers dioecious, pedicellate, bracteate, bract 1 per flower. Male flowers: calyx shortly 3-4 lobed, cupular, imbricate, petals absent, stamens 2-4, filaments free, anthers extrorse in bud, versatile, connective thick, dehiscing longitudinally. Female flowers: sepals as in the male, petals absent, disk annular, ovary 1-celled, ovules 2, style short, stigma bilobed. Fruit a drupe, 5-7 Ã— 3-4 mm, subglobose or ellipsoid, compressed, endocarp strongly reticulate. Seeds ecarunculate, albumen fleshy.","July-November","Evergreen forests.","Sylhet","Fruits are edible. Wood is used as fuel."
"276","97","Blume","Antidesma oblongifolium Blume, Antidesma barbatum ","","A small to medium-sized tree, up to 18 m tall. Leaves elliptic to oblong, ovate or obovate, 9-18 Ã— 3-6 cm, membranaceous to chartaceous, acute to obtuse at the base, glabrous except along the major veins, rarely slightly pilose abaxially, petioles 2-6 mm long, stipules linear to subulate, 2-7 Ã— 0.5-1.5 mm. Male inflorescence 3-13 cm long, axillary, simple to much-branched, consisting of up to 10 racemes. Male flowers: calyx tube c 1 mm long, sepals apically rounded to obtuse, pilose to glabrous outside, glabrous inside, disc cushion-shaped, much shorter than the sepals, subglabrous, stamens 1.0-1.5 mm long. Female inflorescence 4-10 cm long, axillary, sometimes terminally condensed, simple to branched, consisting of up to 5 racemes. Female flowers: pedicels 0.5-1.5 mm long, calyx tube 0.5-1.0 mm long, cup-shaped, sepals apically rounded to acuminate, pilose or glabrous, rarely pubescent outside, glabrous inside but often some long hairs at the base, disc shorter than the sepals, glabrous, ovary ovoid, glabrous, style terminal or slightly subterminal. Fruits terete to slightly compressed, 4-6 Ã— 2.5-4.5 mm, basally symmetrical, with a terminal, rarely slightly subterminal style, glabrous.","April-September.","Primary and secondary evergreen and deciduous fore","Rangamati.","Fruits are edible. Tea made from the leaves is con"
"277","98","Tulasne","","","A shrub or small tree, up to 10 m tall, branches tomentose, branchlets glabrous or pubescent, bark brown. Leaves simple, alternate, 8.5-18.0 Ã— 2.5-5.0 cm, elliptic-lanceolate or oblong-lanceolate, acuminate at the apex, obtuse or sometimes unequal at the base, entire, sub-coriaceous, glabrous, the midrib above and nerves beneath pubescent, lateral veins 6-12 on either half, jointed by intramarginal nerve, petioles up to 6 mm long, tomentose, stipules 3-5 mm long, persistent. Inflorescence racemose, racemes short, 2-5 cm long, tomentose. Flowers sessile or shortly pedicellate, bracteate, bract 1 in each flower. Male flowers: pedicels 0.8-1.0 mm long, calyx 4-lobed, lobes imbricate, petals absent, disk glabrous, hemispheric, stamens 4, episepalous, filaments free, anthers inflexed in bud, versatile, connective elongated, longitudinally dehiscent. Female flowers: pedicels 1-2 mm long, calyx as in the male, petals absent, ovary 1-celled, glabrous, ovules 2, style short, stigma 2-lobed, terminal. Fruit a drupe, c 4 mm in diameter, ovoid, with subterminal style. Seeds ecarunculate, with fleshy albumen, cotyledons thin, flat.","April-November","Evergreen forests.","Sylhet",""
"278","99","Wall. ex Tulasne","","","A shrub or small tree, up to 5 m tall, young branches and leaves densely rusty villous. Leaves 8-25 Ã— 4-10 cm, obovate, obovate-oblong or obovate-elliptic, caudate to acuminate at the apex, rounded, truncate or cordate at the base, entire, subcoriaceous, puberulous above, villous tomentose beneath, lateral nerves 8-10 on either half, spreading, rachis stout, densely tomentose, petioles c 4 mm long, stipules linear-lanceolate, persistent. Spikes 4-15 cm long, stout, dense, sometimes sub-panicled. Flowers greenish, bracteate, bract 1 per flower, minute. Male flowers: calyx 3-4 lobed, imbricate in bud, villous, petals absent, disk cushion-shaped, glabrous, stamens 3-4, filaments free, anthers extrorse in bud, versatile, dehiscing longitudinally, pistillode subglobose. Female flowers: calyx lobes 3-4, disk hairy, ovary 1-locular, straight, tomentose, ovules 2, style very short, stigma terminal. Fruits 0.5-0.8 cm long, subsessile, ovoid to ellipsoid, sub-compressed, bright red. Seeds ecarunculate, cotyledons broad, flat.","April-October","Deciduous or scrub forests.","Sylhet","Fruits are edible."
