"ID_AE","ID_RD","Population","Tree_type","Vegetation_type","Country","Division","District","Upazila","Union","location_notes","Latitude","Longitude","BFI_zone","FAO_biome","WWF_Eco_zone","X","Unit_X","Z","Unit_Z","W","Unit_W","U","Unit_U","V","Unit_V","Mean_X","Min_X","Max_X","Mean_Z","Min_Z","Max_Z","Mean_W","Min_W","Max_W","Output","Output_TR","Unit_Y","Min_age","Max_age","Av_age","B","Bd","Bg","Bt","L","Rb","Rf","Rm","S","T","F","Family","Genus","Species","Subspecies","Species_local_name_latin","Species_local_name_iso","Equation","Sample_size","Top_dob","Top_girth_over_bark","Stump_height","Reference","Label","R2","R2_Adjusted","Corrected_for_bias","MSE","RMSE","SEY","SEE","AIC","FI","Bias_correction","Ratio_equation","Segmented_equation","Contributor","Operator","Remark","Contact","Verified"
125,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","125","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,2,3,"NA","Akashmoni","NA","Y = -0.2080896 + 0.02051161 * X - 0.00009592 * X^(2)",108,"10","NA","0.1",112,12,0.814,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
126,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","125","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,2,3,"NA","Akashmoni","NA","Y = -0.75195615 + 0.02602414 * X - 0.00010886 * X^(2)",83,"15","NA","0.1",112,12,0.857,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
127,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","125","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",49,2,3,"NA","Akashmoni","NA","Y = -1.3170613 + 0.0271059 * X - 0.0000902 * X^(2)",51,"20","NA","0.1",112,12,0.856,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
128,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y = -12.52620808 + 2.5653795 * Log (X)",245,"NA","NA","0.1",112,12,0.942,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
129,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","25","165","NA","5","17","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y = -12.4361459 + 1.8661846 * Log (X) + 1.2282822 * Log (Z)",245,"NA","NA","0.1",112,12,0.96,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
130,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",,"NA",56,396,1282,"NA","Mahogany","NA","Y = X/(12.2255598 + 0.834757 * X + 0.0008996 * X^(2))",245,"NA","NA","0.1",112,12,0.996,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor from volume overbark to underbark volume","mahmoodhossain@hotmail.com",""
131,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y =  X/(11.1197969 + 0.8596949 * X + 0.001144 * X^(2))",245,"5","NA","0.1",112,12,0.98,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
132,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y = -0.2221803 + 0.0170416 * X - 0.0000673 * X^(2)",222,"10","NA","0.1",112,12,0.804,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
133,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y = -0.4795166 + 0.0161686 * X - 0.0000527 * X^(2)",177,"15","NA","0.1",112,12,0.775,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
134,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",56,396,1282,"NA","Mahogany","NA","Y = -0.5048475 + 0.0126964 * X - 0.0000316 * X^(2)",138,"20","NA","0.1",112,12,0.672,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
135,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y = -12.8715358 + 2.6994968 * Log (X)",178,"NA","NA","0.1",112,12,0.929,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
136,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","25","165","NA","5","21","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y = -12.4 + 1.7131 * Log (X) + 1.58245 * Log (Z)",178,"NA","NA","0.1",112,12,0.967,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
137,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",,"NA",57,17,55,"NA","Koroi","NA","Y = X/(8.2005596 + 0.9405175 * X + 0.0003273 * X^(2))",178,"NA","NA","0.1",112,12,0.999,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor from volume overbark to underbark volume","mahmoodhossain@hotmail.com",""
138,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y =  X/(14.7539854 + 0.9554005 * X + 0.0005282 * X^(2))",178,"5","NA","0.1",112,12,0.991,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
139,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y = 1.0865688 - (28.5099263/X)",173,"10","NA","0.1",112,12,0.844,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
140,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y = 1.1510961 - (49.8337744/X)",152,"15","NA","0.1",112,12,0.81,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
141,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","165","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,55,"NA","Koroi","NA","Y = -0.9534501 + 0.0198877 * X - 0.0000573 * X^(2)",142,"20","NA","0.1",112,12,0.831,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
142,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = -12.427775 + 2.6056676 * Log (X)",202,"NA","NA","0.1",112,12,0.902,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
143,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","25","145","NA","5","21","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = -12.5189939 + 1.9800535 * Log (X) + 1.0775148 * Log (Z)",202,"NA","NA","0.1",112,12,0.934,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
144,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",,"NA",40,133,433,"NA","Sissoo","NA","Y = X/(8.2660565 + 0.952099 * X + 0.0002453 * X^(2))",202,"NA","NA","0.1",112,12,0.995,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor from volume overbark to underbark volume","mahmoodhossain@hotmail.com",""
145,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = X/(10.3502791 + 1.1634831 * X - 0.0007945 * X^(2))",202,"5","NA","0.1",112,12,0.979,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
146,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = -0.41985 + 0.028034 * X - 0.000157 * X^(2)",,"10","NA","0.1",112,12,0.805,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
147,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = -1.2178 + 0.03933 * X - 0.000195 * X^(2)",,"15","NA","0.1",112,12,0.854,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
148,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","145","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",40,133,433,"NA","Sissoo","NA","Y = -1.5982 + 0.03884 * X - 0.0001644 * X^(2)",193,"20","NA","0.1",112,12,0.83,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
149,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y = -11.2782859 + 2.34743 * Log (X)",128,"NA","NA","0.1",112,12,0.91,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
150,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","25","115","NA","5","17","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y = -11.875835 + 1.8823999 * Log (X) + 1.0819988 * Log (Z)",128,"NA","NA","0.1",112,12,0.91,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
151,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",,"NA",57,2,8,"NA","Babla","NA","Y = X/(6.7308322 + 0.9248798 * X + 0.0005741 * X^(2))",128,"NA","NA","0.1",112,12,0.997,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor from volume overbark to underbark volume","mahmoodhossain@hotmail.com",""
152,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y =  X/(8.7785999 + 1.0200141 * X + 0.0003543 * X^(2))",128,"5","NA","0.1",112,12,0.987,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
153,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y = -0.49322 + 0.0262412 * X - 0.0001275 * X^(2)",120,"10","NA","0.1",112,12,0.771,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
154,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y = -1.0759925 + 0.0311006 * X - 0.0001346 * X^(2)",93,"15","NA","0.1",112,12,0.766,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
155,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","115","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,2,8,"NA","Babla","NA","Y = -1.3170613 + 0.0271059 * X - 9.000002 * X^(2)",59,"20","NA","0.1",112,12,0.714,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
156,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = -12.287524 + 2.5086408 * Log (X)",190,"NA","NA","0.1",112,12,0.952,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
157,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","H","m","NA","NA","NA","NA","NA","NA","NA","25","205","NA","5","17","NA","NA","NA","Volume","Log","m3","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = -12.3213818 + 1.8912934 * Log (X) + 1.183443 * Log (Z)",190,"NA","NA","0.1",112,12,0.974,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com","verified"
158,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA",,"NA",57,17,1424,"NA","Rain tree","NA","Y = X/(11.4831022 + 0.9321882 * X + 0.0002577 * X^(2))",190,"NA","NA","0.1",112,12,0.996,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Conversion factor from volume overbark to underbark volume","mahmoodhossain@hotmail.com",""
159,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = X/(16.1036268 + 1.0084875 * X + 0.0001823 * X^(2))",190,"5","NA","0.1",112,12,0.987,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
160,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = X/(68.6872892 + 0.362527 * X + 0.0021786 * X^(2))",173,"10","NA","0.1",112,12,0.91,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
161,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = -0.4321178 + 0.0145722 * X - 0.000011 * X^(2)",163,"15","NA","0.1",112,12,0.842,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
162,"NA","Individual","Tree","Plantation","Bangladesh",,,,,"Bagerhat, Pirojpur, Barguna, Patuakhali, Barishal, Bhola, Laxmipur, Noakhali, Feni, Chittagong","0","0",6,99,3,"C","cm","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","205","NA","NA","NA","NA","NA","NA","Conversion","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA",57,17,1424,"NA","Rain tree","NA","Y = -0.6798156 + 0.0153724 * X - 0.000001 * X^(2)",137,"20","NA","0.1",112,12,0.775,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","NA","mahmoodhossain@hotmail.com",""
