"ID_WD","Tree_type","Vegetation_type","Region","ID_Location_group","ID_Location","Group_Location","Location","Longitude","Latitude","Zone_FAO","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_family","ID_genus","ID_species","Subspecies","Species_local_name_iso","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Operator","Remark","Contact"
61,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,264,915,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.85,0.96,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy wood","mahmoodhossain@hotmail.com"
62,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,133,433,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.65",0.71,0.74,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
63,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",34,142,459,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.56,0.58,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
64,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",34,142,459,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.55,0.6,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
65,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",34,142,460,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.58,0.63,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
66,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",34,142,460,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.52",0.6,0.64,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
67,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",36,144,469,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.56",0.59,0.63,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
68,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,1439,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.7,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
69,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,480,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.65,0.7,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
70,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,478,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.71,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
71,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,483,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.69,0.75,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
72,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,480,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.63,0.71,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
73,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,478,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.55",0.57,0.64,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
74,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,483,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.65",0.71,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
75,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,145,1439,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.66",0.69,0.75,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
76,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",51,153,500,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.49,0.52,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
77,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",51,153,500,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.41",0.42,0.46,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
78,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",37,158,524,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.62,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
79,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",106,326,1083,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.68,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
80,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",44,162,535,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.48",0.51,0.55,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
81,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,165,547,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.22",0.23,0.24,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
82,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",49,165,543,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.25",0.3,0.31,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
83,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",62,167,552,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.54",0.59,0.68,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
84,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",62,167,,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.67,0.76,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
85,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",62,435,1436,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.7,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy","mahmoodhossain@hotmail.com"
86,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",62,167,558,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.75",0.82,0.87,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy","mahmoodhossain@hotmail.com"
87,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",39,172,578,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.4,0.43,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
88,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",82,439,1448,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,0.7,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
89,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",58,175,587,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.39,0.42,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
91,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",54,177,627,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.45,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
92,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",84,178,631,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.68,0.75,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
93,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",25,181,641,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.5",0.52,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
94,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",81,182,651,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.67,0.73,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
95,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",19,184,658,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.65,0.69,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
96,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",106,187,672,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.72,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
97,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",45,190,685,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.46,0.5,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
98,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",45,190,685,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.41",0.42,0.44,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
99,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",15,174,583,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.73,0.79,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
100,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",91,205,,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.96,1.1,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy wood","mahmoodhossain@hotmail.com"
101,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",91,205,,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.81",0.94,1.01,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy","mahmoodhossain@hotmail.com"
102,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",39,207,736,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.54,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
103,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",54,209,741,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.58,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
104,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",8,437,1446,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.45,0.48,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
105,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,212,749,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.35,0.37,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
106,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,212,749,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.37",0.38,0.4,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
107,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",84,214,1440,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.8",0.86,0.93,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Very heavy","mahmoodhossain@hotmail.com"
108,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,216,759,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.61,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
109,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",35,216,759,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.59",0.62,0.64,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
110,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",104,218,763,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.61,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
111,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",81,219,767,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.4",0.41,0.42,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
112,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",51,233,808,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.67,0.73,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Heavy wood","mahmoodhossain@hotmail.com"
113,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",51,233,810,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.57,0.61,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
114,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",51,233,810,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,9.68,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
115,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,234,813,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.62,0.65,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
116,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,234,813,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.63,0.67,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
117,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",46,246,1441,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
118,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",24,248,1442,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.49,0.53,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
119,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",24,248,1442,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.38",0.39,0.42,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","light","mahmoodhossain@hotmail.com"
120,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,261,906,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.48,0.53,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Light wood","mahmoodhossain@hotmail.com"
121,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,261,909,"NA","NA",49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.51,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderately heavy wood","mahmoodhossain@hotmail.com"
122,"Tree","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA",4,261,906,"NA","NA",50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.52",0.53,0.54,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","Khulna University","Mahmood Hossain","Moderate heavy","mahmoodhossain@hotmail.com"
