"plot_plot_id","lf_start_time_collection","lf_start_time_collection_hour","lf_start_time_collection_minute","lf_id","lf_details_lf_status","lf_details_lf_status_label","lf_details_lf_size","lf_details_lf_size_label","lf_details_lf_owner","lf_details_lf_owner_qualifier","lf_details_lf_owner_label","lf_details_land_legal","lf_details_land_legal_label","lf_details_lf_serv[1]","lf_details_lf_serv_qualifier[1]","lf_details_lf_serv_label[1]","lf_details_lf_serv[2]","lf_details_lf_serv_qualifier[2]","lf_details_lf_serv_label[2]","lf_details_lf_serv[3]","lf_details_lf_serv_qualifier[3]","lf_details_lf_serv_label[3]","lf_details_lf_serv[4]","lf_details_lf_serv_qualifier[4]","lf_details_lf_serv_label[4]","lf_details_lf_serv[5]","lf_details_lf_serv_qualifier[5]","lf_details_lf_serv_label[5]","lf_details_cover_min","lf_details_cover_max","nlcl","nlcl_label","lf_notes","lfo_count"
"816","11:44","11","44","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","9","","Recreation and tourism","8","","Windbreak","","","","","","","70.0","80.0","NMF","Mangrove Forest","","2.0"
"510","15:30","15","30","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"810","8:43","8","43","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","9","","Recreation and tourism","7","","Beekeeping activities","8","","Windbreak","6","","Wildlife","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"826","10:9","10","9","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"804","12:48","12","48","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","2.0"
"832","13:34","13","34","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","60.0","70.0","NMF","Mangrove Forest","","2.0"
"509","10:32","10","32","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","2","Protected Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","7","","Beekeeping activities","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"504","12:52","12","52","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","9","","Recreation and tourism","8","","Windbreak","7","","Beekeeping activities","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"512","9:13","9","13","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"819","15:15","15","15","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"806","14:34","14","34","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"824","10:58","10","58","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"502","11:27","11","27","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","1.0"
"511","10:19","10","19","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","96","","Other","80.0","90.0","NMF","Mangrove Forest","","2.0"
"513","12:41","12","41","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"8","8:36","8","36","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","70.0","80.0","NMF","Mangrove Forest","","1.0"
"7","11:28","11","28","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","7","","Beekeeping activities","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"821","8:50","8","50","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"833","14:37","14","37","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","7","","Beekeeping activities","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","2.0"
"814","8:38","8","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","70.0","80.0","NMF","Mangrove Forest","","2.0"
"828","10:13","10","13","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","7","","Beekeeping activities","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"811","15:26","15","26","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","70.0","80.0","NMF","Mangrove Forest","","2.0"
"822","13:47","13","47","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","7","","Beekeeping activities","","","","80.0","90.0","NMF","Mangrove Forest","","2.0"
"831","15:53","15","53","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","7","","Beekeeping activities","9","","Recreation and tourism","","","","70.0","80.0","NMF","Mangrove Forest","","2.0"
"803","15:31","15","31","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","2.0"
"843","14:9","14","9","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","60.0","70.0","NMF","Mangrove Forest","","2.0"
"839","9:13","9","13","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","8","","Windbreak","9","","Recreation and tourism","","","","90.0","100.0","NMF","Mangrove Forest","","2.0"
"43","12:17","12","17","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","2","Protected Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"39","8:44","8","44","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","7","","Beekeeping activities","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"37","10:57","10","57","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","70.0","80.0","NMF","Mangrove Forest","","1.0"
"35","10:40","10","40","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","50.0","60.0","NMF","Mangrove Forest","","2.0"
"36","9:46","9","46","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"40","10:40","10","40","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","85.0","95.0","NMF","Mangrove Forest","","1.0"
"481","12:23","12","23","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","70.0","90.0","NMF","Mangrove Forest","Center plot is un even natural forest, mostly cover with mixed species of sundari,golpata,gewa,amur","2.0"
"836","10:19","10","19","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"505","8:51","8","51","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","65.0","75.0","NMF","Mangrove Forest","","1.0"
"823","12:54","12","54","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"802","8:46","8","46","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","85.0","95.0","NMF","Mangrove Forest","","1.0"
"508","11:2","11","2","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","9","","Recreation and tourism","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"829","13:6","13","6","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"805","8:37","8","37","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"517","14:3","14","3","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","","","","","","","","","","60.0","70.0","NMF","Mangrove Forest","","1.0"
"830","13:38","13","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","85.0","95.0","NMF","Mangrove Forest","","1.0"
"801","13:20","13","20","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"812","21:10","21","10","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","2.0"
"834","14:11","14","11","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","55.0","65.0","NMF","Mangrove Forest","","2.0"
"827","8:59","8","59","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","60.0","70.0","NMF","Mangrove Forest","","1.0"
"809","8:38","8","38","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","2.0"
"837","13:7","13","7","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","60.0","70.0","NMF","Mangrove Forest","","2.0"
"475","10:34","10","34","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","4","","Plant medicines","96","Fish drying","Other","","","","","","","30.0","40.0","NMF","Mangrove Forest","Although no house have been recorded in the plot but there are many fish drying temporary house just adjacent to the plot","3.0"
"9","12:52","12","52","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","4","","Plant medicines","9","","Recreation and tourism","","","","","","","45.0","55.0","NMF","Mangrove Forest","","4.0"
"9","13:33","13","33","2","2","North subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","10","","Cultural, spiritual value","4","","Plant medicines","","","","","","","65.0","75.0","NMF","Mangrove Forest","","4.0"
"506","10:56","10","56","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","4","","Plant medicines","8","","Windbreak","9","","Recreation and tourism","","","","70.0","80.0","NMF","Mangrove Forest","","1.0"
"515","10:31","10","31","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","4","","Plant medicines","","","","","","","","","","50.0","60.0","NMF","Mangrove Forest","","1.0"
"808","1:8","1","8","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"503","12:51","12","51","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","4","","Plant medicines","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"820","15:32","15","32","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","70.0","80.0","NMF","Mangrove Forest","","1.0"
"813","9:56","9","56","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","85.0","95.0","NMF","Mangrove Forest","","1.0"
"514","14:9","14","9","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","8","","Windbreak","4","","Plant medicines","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"518","9:21","9","21","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","0","","None observed","","","","","","","","","","","","","70.0","80.0","NMF","Mangrove Forest","","1.0"
"840","9:32","9","32","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","60.0","70.0","NMF","Mangrove Forest","","1.0"
"817","9:2","9","2","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","80.0","90.0","NMF","Mangrove Forest","","1.0"
"10","13:37","13","37","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","4","","Plant medicines","9","","Recreation and tourism","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
"825","11:21","11","21","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","60.0","70.0","NMF","Mangrove Forest","","2.0"
"807","13:25","13","25","1","1","Center subplot","2","> 0.5 ha","2","","Forest Department","1","Reserved Forest","6","","Wildlife","","","","","","","","","","","","","75.0","85.0","NMF","Mangrove Forest","","1.0"
