"plot_plot_id","lf_lf_id","object_id","object","object_label","vegetation_veg_type","vegetation_veg_type_label","vegetation_artif","vegetation_artif_label","vegetation_cover_perc","vegetation_cover_perc_label","vegetation_maturity","vegetation_maturity_label","vegetation_management","vegetation_management_qualifier","vegetation_management_label","vegetation_treatment[1]","vegetation_treatment_qualifier[1]","vegetation_treatment_label[1]","vegetation_treatment[2]","vegetation_treatment_qualifier[2]","vegetation_treatment_label[2]","vegetation_treatment[3]","vegetation_treatment_qualifier[3]","vegetation_treatment_label[3]","vegetation_treatment[4]","vegetation_treatment_qualifier[4]","vegetation_treatment_label[4]","vegetation_rotation","vegetation_rotation_label","vegetation_crop_details_crop[1]","vegetation_crop_details_crop_qualifier[1]","vegetation_crop_details_crop_label[1]","vegetation_crop_details_crop[2]","vegetation_crop_details_crop_qualifier[2]","vegetation_crop_details_crop_label[2]","vegetation_crop_details_crop[3]","vegetation_crop_details_crop_qualifier[3]","vegetation_crop_details_crop_label[3]","vegetation_crop_details_cultivation","vegetation_crop_details_cultivation_label","vegetation_crop_details_crop_watersup[1]","vegetation_crop_details_crop_watersup_qualifier[1]","vegetation_crop_details_crop_watersup_label[1]","vegetation_crop_details_crop_watersup[2]","vegetation_crop_details_crop_watersup_qualifier[2]","vegetation_crop_details_crop_watersup_label[2]","vegetation_crop_details_crop_watersup[3]","vegetation_crop_details_crop_watersup_qualifier[3]","vegetation_crop_details_crop_watersup_label[3]","non_veg_details_non_veg","non_veg_details_non_veg_label","non_veg_details_non_veg_perc","non_veg_details_non_veg_perc_label","water_details_water","water_details_water_qualifier","water_details_water_label","water_details_water_sal","water_details_water_sal_label","water_details_water_perc","water_details_water_perc_label"
"317","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"317","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","9","80-90%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"238","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","1","4","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","96","Tea","Others","","","","","","","3","Reduced tilling","99","","Unknown","","","","","","","","","","","","","","","","",""
"315","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"315","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"315","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"316","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","5","40-50%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"306","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306","2","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306","2","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","1","Fresh","1","1-10%"
"306","2","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","9","80-90%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1520","1","2","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","8","70-80%"
"1521","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1521","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"304","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"304","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"304","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"1505","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1494","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1494","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1499","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1499","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1499","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"308","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","1","","Irrigated","","","","","","","","","","","","","","","","",""
"1550","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","sea side","River","2","Saline","10","90-100%"
"1551","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","North East  side of bay of bengal.","Other (describe)","2","Saline","10","90-100%"
"1552","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","Sea side","Other (describe)","2","Saline","10","90-100%"
"311","1","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","Sea side","Other (describe)","2","Saline","10","90-100%"
"312","1","1","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"312","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"313","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","8","","Plantation (general)","2","","Weeding","1","","Thinning","10","","Assisted Natural Regeneration","","","","2","10 to 20 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"313","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"313","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1495","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1495","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1495","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1498","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1498","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1498","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1716","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1716","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1716","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1709","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1709","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1709","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1709","2","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1709","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1724","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1724","1","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","10","90-100%"
"1724","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1724","1","4","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","1","1-10%","","","","","","",""
"1704","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1704","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1704","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","9","80-90%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1704","2","3","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","3","20-30%"
"1721","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1725","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1725","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1725","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1725","3","1","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Roads / Rail / Linear surface","10","90-100%","","","","","","",""
"1725","4","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","10","90-100%"
"1717","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1717","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1717","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","2","10-20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1717","1","4","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","2","Saline","1","1-10%"
"1718","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1718","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1718","1","3","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1718","1","4","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","ziri","Other (describe)","2","Saline","2","10-20%"
"1723","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","10","90-100%","","","","","","","","","","","","","","","","","","","","1","","Rice","6","","Potato","11","","Winter vegetables","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1723","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1723","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1723","2","3","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","6","50-60%"
"1708","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","11","","Winter vegetables","","","","","","","4","No tilling","96","no need water","Other","","","","","","","","","","","","","","","","",""
"1708","1","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","9","80-90%"
"1708","1","3","2","Non-vegetated (Abiotic)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Building / Structure","2","10-20%","","","","","","",""
"1720","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","7","60-70%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","8","70-80%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1719","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","8","70-80%","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","1","","Rice","","","","","","","2","Conventional tilling","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1719","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1719","1","3","1","Vegetated","1","Tree","2","Cultivated and managed","2","10-20%","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1719","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1719","2","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1719","2","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","6","50-60%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1524","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524","2","2","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","Pond","1","Fresh","5","40-50%"
"1524","2","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","5","40-50%","3","Uneven plantation","0","","None observed","0","","None observed","","","","","","","","","","99","Unknown","99","","Unknown","","","","","","","96","Unknown","3","","Rainfed","","","","","","","","","","","","","","","","",""
"1524","2","4","1","Vegetated","3","Herbs, Grass, Herbaceous crops","2","Cultivated and managed","5","40-50%","","","","","","","","","","","","","","","","","","","","1","","Rice","","","","","","","2","Conventional tilling","4","","Both Rainfed and Irrigated","","","","","","","","","","","","","","","","",""
"1500","1","1","1","Vegetated","1","Tree","2","Cultivated and managed","","","4","Even age planation","7","","Coastal plantation","0","","None observed","","","","","","","","","","99","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","3","20-30%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","1","3","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","2","1","3","Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","Canal","2","Saline","3","20-30%"
"253","1","1","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","10","90-100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","1","2","1","Vegetated","1","Tree","2","Cultivated and managed","","","5","Even age young  plantation","8","","Plantation (general)","0","","None observed","","","","","","","","","","1","Less than 10 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","2","1","1","Vegetated","1","Tree","2","Cultivated and managed","10","90-100%","5","Even age young  plantation","8","","Plantation (general)","11","","Artificial regeneration","","","","","","","","","","1","Less than 10 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","2","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","1","1-10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","1","2","1","Vegetated","3","Herbs, Grass, Herbaceous crops","1","Natural or semi-natural","5","40-50%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","4","30-40%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","1","2","1","Vegetated","2","Woody understory","1","Natural or semi-natural","6","50-60%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"486","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516","1","1","1","Vegetated","1","Tree","1","Natural or semi-natural","","","1","Uneven age natural forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
